time,code,class
1.345, d,1
22.967, o,1
28.84, p,1
31.509, o,1
36.047, d,1
37.381, m,1
68.078, d,1
69.147, s,1
75.287,a,1
82.76, s,1
85.164, d,1
85.696, m,1
94.24, d,1
95.041, o,1
97.708, p,1
98.779, o,1
101.979, d,1
105.716, s,1
108.92,a,1
113.991, s,1
115.862, d,1
116.66, m,1
122.805, d,1
123.606, o,1
125.205, p,1
126.807, o,1
130.541, d,1
132.944, s,1
135.879,a,1
154.57, s,1
158.04, d,1
159.374, o,1
162.307, p,1
166.31, o,1
167.912, d,1
168.713, m,1
175.657, d,1
176.19, s,1
178.856,a,1
183.928, s,1
185.801, d,1
187.131, m,1
193.272, d,1
193.806, o,1
199.677, p,1
204.75, o,1
205.819, p,1
211.956, o,1
213.023, p,1
221.036, o,1
226.105, d,1
227.706, s,1
231.175,a,1
251.732, s,1
254.398,a,1
263.207, s,1
265.61,a,1
271.482, s,1
272.55,a,1
299.243,END,0
