time,code,class
13.066,o,1
15.067,p,1
21.078,o,1
24.28,d,1
27.084,s,1
32.289,a,1
49.505,d,1
51.508,m ,1
55.113,o,1
55.912,p,1
57.115,o,1
59.515,d,1
63.12,s,1
64.321,a,1
69.126,s,1
69.927,d,1
72.329,o,1
74.33,p,1
77.535,o,1
80.337,p,1
85.542,o,1
86.342,p,1
93.548,o,1
98.355,d,1
98.355,m ,1
104.359,o,1
106.359,p,1
111.967,o,1
115.17,d,1
117.175,s,1
118.773,a,1
121.976,s,1
122.778,d,1
125.181,s,1
125.982,a,1
131.189,s,1
132.387,a,1
134.391,s,1
136.793,a,1
148.002,s,1
149.603,a,1
151.208,s,1
152.41,a,1
155.61,s,1
158.813,a,1
164.817,s,1
166.825,d,1
169.226,o,1
171.628,p,1
178.836,o,1
180.834,m ,1
183.24,s,1
184.84,a,1
193.646,s,1
196.051,a,1
198.454,s,1
199.655,d,1
201.256,o,1
202.855,p,1
206.46,o,1
210.466,p,1
211.669,o,1
213.166,d,1
214.97,d,1
215.371,s,1
216.974,a,1
224.179,s,1
225.782,a,1
254.61,s,1
255.008,s,1
256.212,a,1
264.62,s,1
265.02,d,1
266.219,o,1
267.82,p,1
271.029,o,1
273.029,p,1
275.028,o,1
277.43,m ,1
281.035,d,1
281.835,s,1
284.637,a,1
288.644,s,1
299.096,a,1
300.909,END,0
