time,code,class
1.75,m ,1
5.486,d,1
5.756,s,1
10.827,a,1
31.45,s,1
33.052,a,1
169.19,a,1
186.74,s,1
188.343,d,1
191.511,o,1
193.611,p,1
196.711,o,1
199.284,d,1
203.954,s,1
207.06,d,1
208.629,m ,1
208.691,d,1
209.196,s,1
211.833,a,1
217.504,s,1
219.637,d,1
221.737,o,1
225.84,d,1
228.344,s,1
230.945,a,1
242.358,s,1
245.462,a,1
252.201,s,1
257.877,a,1
259.476,s,1
261.01,d,1
264.079,o,1
268.249,p,1
277.565,o,1
278.098,p,1
282.263,o,1
284.866,m ,1
287.401,s,1
288.937,a,1
297.682,s,1
299.508,d,1
301.335,o,1
301.939,END,0
