time,code,class
5.078,m,1
6.947,d,1
7.484,s,1
11.219,a,1
31.503,s,1
33.638,a,1
188.998,s,1
193.797,d,1
194.333,o,1
194.866,p,1
199.671,o,1
201.01,d,1
204.482,s,1
207.948,m,1
209.547,d,1
210.083,s,1
211.951,a,1
219.96,s,1
222.627,d,1
225.029,o,1
226.897,d,1
229.033,s,1
239.177,a,1
244.249,s,1
259.2,a,1
260.532,s,1
261.871,d,1
265.07,o,1
269.075,p,1
279.489,o,1
282.424,p,1
282.953,o,1
285.359,m,1
288.024,d,1
288.558,s,1
289.361,a,1
298.706,s,1
299.772,d,1
302.072,END,0
