time,code,class
0.588,a,1
9.929, s,1
13.933, d,1
16.601, o,1
19.805, p,1
25.148, o,1
26.75, p,1
31.817, o,1
37.156, d,1
39.558, s,1
42.494,a,1
49.968, s,1
52.37,a,1
57.843, s,1
59.983,a,1
66.923, s,1
70.656,a,1
79.465, s,1
82.935,a,1
102.957, s,1
106.691,a,1
122.178, s,1
122.707,a,1
146.198, s,1
149.134,a,1
153.939, s,1
155.541,a,1
164.617, s,1
168.357, d,1
170.755, o,1
175.027, p,1
184.638, o,1
189.976, d,1
192.648, s,1
195.847,a,1
197.45, s,1
201.454, d,1
204.122, o,1
208.126, p,1
214.535, o,1
216.139, p,1
224.143, o,1
227.079, p,1
230.015, o,1
236.423, d,1
239.093, s,1
241.494,a,1
252.437, s,1
255.377,a,1
260.979, s,1
264.186, d,1
267.121, o,1
272.192, p,1
298.42, o,1
299.945,END,0
