time,code,class
0.851,a,1
15.601,s,1
18.851,a,1
28.351,s,1
29.602,a,1
36.101,s,1
37.101,a,1
48.993,s,1
53.351,d,1
53.851,o,1
55.101,p,1
58.602,o,1
59.747,d,1
61.351,s,1
62.851,a,1
66.351,s,1
67.002,a,1
72.494,s,1
73.101,a,1
104.351,s,1
106.101,a,1
122.101,s,1
126.746,d,1
128.749,o,1
131.101,p,1
133.998,o,1
134.601,p,1
137.74,o,1
138.351,p,1
143.601,o,1
146.747,p,1
151.351,o,1
152.249,p,1
155.101,o,1
161.242,p,1
164.101,o,1
166.351,p,1
184.351,o,1
188.25,p,1
196.351,o,1
198.351,p,1
201.601,o,1
202.75,p,1
209.351,o,1
211.75,p,1
213.351,o,1
216.081,d,1
217.228,s,1
223.331,d,1
225.581,o,1
227.33,p,1
228.831,o,1
230.581,d,1
232.331,s,1
234.831,a,1
254.581,s,1
256.331,a,1
278.581,s,1
278.975,a,1
285.33,s,1
286,a,1
293.831,s,1
294.331,a,1
299.581,END,0
