time,code,class
0.409,a,1
13.222,s,1
14.556,a,1
88.765,s,1
89.03,a,1
110.652,s,1
111.72,a,1
120.264,s,1
124.533,d,1
125.601,o,1
126.935,p,1
134.144,o,1
134.944,p,1
136.282,o,1
137.612,d,1
138.68,s,1
139.748,a,1
153.629,s,1
154.967,d,1
156.301,o,1
157.635,p,1
162.437,o,1
163.507,d,1
164.844,s,1
166.175,a,1
173.381,s,1
174.451,d,1
175.784,o,1
176.318,p,1
178.458,o,1
181.123,p,1
183.262,o,1
184.862,d,1
185.932,s,1
186.996,a,1
196.871,s,1
197.941,d,1
199.275,o,1
200.075,p,1
206.481,o,1
207.015,p,1
213.69,o,1
215.024,d,1
216.094,s,1
217.161,a,1
229.704,s,1
231.039,d,1
232.374,o,1
233.978,p,1
236.916,o,1
237.983,d,1
239.583,s,1
240.917,a,1
244.92,s,1
246.255,d,1
247.322,o,1
248.124,p,1
250.262,o,1
251.594,d,1
252.931,s,1
254.796,a,1
257.199,s,1
260.135,a,1
269.178,s,1
270.245,d,1
271.049,o,1
272.116,p,1
275.417,o,1
275.417,p,1
281.023,o,1
282.625,d,1
283.693,s,1
285.293,a,1
291.859,s,1
292.612,d,1
294.129,o,1
295.641,p,1
299.899,o,1
299.899,END,0
