time,code,class
1.61,a,1
13.356, s,1
14.422,a,1
88.098, s,1
88.901,a,1
111.054, s,1
111.854,a,1
120.395, s,1
124.402, d,1
125.734, o,1
127.068, p,1
134.277, o,1
135.079, p,1
136.679, o,1
137.48, d,1
138.815, s,1
140.15,a,1
153.795, s,1
155.397, m,1
157.003, o,1
157.802, p,1
163.406, o,1
164.74, d,1
165.274, s,1
166.074,a,1
173.217, s,1
174.552, d,1
175.618, o,1
176.151, p,1
178.824, o,1
180.957, p,1
183.627, o,1
184.962, d,1
186.029, s,1
187.364,a,1
197.439, s,1
198.774, d,1
199.843, o,1
200.643, p,1
213.723, o,1
214.792, d,1
216.126, s,1
217.46,a,1
229.471, s,1
231.34, d,1
232.675, o,1
234.009, p,1
236.945, o,1
238.28, d,1
239.615, s,1
241.217,a,1
244.154, s,1
245.488, d,1
246.823, o,1
248.158, p,1
250.559, o,1
251.627, d,1
252.963, s,1
254.563,a,1
257.233, s,1
259.902,a,1
268.443, s,1
270.045, d,1
270.846, o,1
271.918, p,1
274.585, o,1
275.385, p,1
281.256, o,1
282.328, d,1
283.66, s,1
284.993,a,1
291.123, s,1
292.658, d,1
294.174, o,1
295.403, p,1
299.972, o,1
299.972,END,0
