time,code,class
1.351,o,1
3.351,d,1
8.851,s,1
12.351,a,1
19.351,s,1
24.851,d,1
30.301,o,1
36.351,p,1
44.351,o,1
47.351,d,1
48.351,m,1
54.101,o,1
59.101,p,1
69.101,o,1
71.601,d,1
72.101,m,1
74.601,s,1
78.601,a,1
83.054,s,1
86.351,d,1
88.601,o,1
92.351,p,1
102.851,o,1
106.851,d,1
107.351,m,1
110.351,s,1
114.351,a,1
124.851,s,1
128.305,d,1
128.851,m,1
132.351,o,1
136.851,p,1
140.101,o,1
144.101,d,1
145.101,m,1
154.101,s,1
158.101,a,1
159.101,s,1
163.101,d,1
164.351,m,1
166.601,o,1
172.351,p,1
174.351,o,1
177.851,d,1
180.851,m,1
184.351,d,1
186.851,m,1
189.851,d,1
190.851,s,1
194.851,a,1
197.351,s,1
202.351,d,1
202.851,m,1
205.601,d,1
206.325,o,1
211.553,p,1
213.101,o,1
216.101,d,1
219.601,s,1
225.101,d,1
226.558,m,1
233.601,d,1
234.052,s,1
239.601,d,1
240.601,m,1
244.601,o,1
251.101,d,1
254.3,s,1
258.851,a,1
260.351,s,1
262.851,d,1
263.351,m,1
266.351,o,1
269.851,p,1
270.851,o,1
273.351,d,1
274.304,m,1
278.101,d,1
280.351,s,1
284.305,a,1
285.851,s,1
289.556,d,1
296.101,o,1
299.6,p,1
299.6,END,0
