time,code,class
0.023,o,1
2.922,d,1
8.164,m,1
8.964,s,1
12.164,a,1
19.638,s,1
24.71,d,1
27.378,m,1
30.314,o,1
36.187,p,1
44.463,o,1
47.398,d,1
48.167,m,1
54.039,o,1
59.111,p,1
69.125,o,1
71.26,d,1
71.794,m,1
74.196,s,1
78.697,a,1
82.968,s,1
86.07,d,1
88.474,o,1
92.009,p,1
102.954,o,1
106.724,d,1
107.258,m,1
110.195,s,1
114.437,a,1
124.843,s,1
128.579,d,1
128.847,m,1
132.318,o,1
136.589,p,1
140.059,o,1
143.795,d,1
144.795,m,1
153.642,s,1
158.777,a,1
159.047,s,1
163.582,d,1
163.85,m,1
166.888,d,1
168.222,o,1
172.327,p,1
173.66,o,1
177.663,d,1
180.9,m,1
184.635,d,1
185.971,m,1
190.141,s,1
194.679,a,1
197.62,s,1
202.692,m,1
206.424,o,1
211.496,p,1
212.834,o,1
216.233,d,1
219.438,s,1
225.043,d,1
225.847,m,1
233.722,s,1
239.59,d,1
239.858,m,1
244.562,o,1
251.338,d,1
254.271,s,1
259.076,a,1
260.312,s,1
262.981,m,1
266.386,o,1
270.355,p,1
270.621,o,1
273.559,d,1
274.359,m,1
280.634,s,1
284.104,a,1
285.637,s,1
291.232,d,1
295.797,o,1
299.747,p,1
300,END,0
