time,code,class
3.892, d,1
9.228, s,1
12.166,a,1
20.175, s,1
25.512, d,1
29.518, m,1
31.12, o,1
36.723, p,1
45.534, o,1
49, m,1
54.341, o,1
59.146, p,1
69.554, o,1
71.691, m,1
74.895, d,1
75.696, s,1
78.9,a,1
83.438, s,1
86.373, d,1
88.775, o,1
92.515, p,1
103.456, o,1
107.461, m,1
110.398, s,1
115.203,a,1
124.809, s,1
128.814, d,1
129.881, m,1
133.085, o,1
137.358, p,1
140.993, o,1
144.732, m,1
154.606, s,1
158.878,a,1
159.677, s,1
164.482, m,1
168.219, d,1
169.023, o,1
172.757, p,1
175.16, o,1
177.829, d,1
181.3, m,1
190.643, s,1
195.179,a,1
198.116, s,1
203.455, m,1
207.193, o,1
211.996, p,1
214.132, o,1
216.534, d,1
219.737, s,1
225.343, d,1
226.948, m,1
234.153, s,1
240.291, m,1
245.096, o,1
252.04, d,1
254.706, s,1
259.514,a,1
260.848, s,1
263.515, m,1
266.718, o,1
270.459, p,1
270.722, o,1
275.26, m,1
279.734, d,1
280.531, s,1
284.273,a,1
286.673, s,1
291.566, d,1
296.224, o,1
299.955,END,0
