time,code,class
2.568,p,1
3.602,o,1
7.351,p,1
12.815,o,1
17.351,p,1
20.852,o,1
24.352,p,1
28.351,o,1
31.851,d,1
34.851,s,1
37.814,a,1
39.851,s,1
41.601,a,1
48.601,s,1
53.07,d,1
56.101,m,1
61.101,s,1
62.601,a,1
63.065,s,1
64.601,d,1
66.601,o,1
67.601,p,1
69.101,o,1
70.101,d,1
71.101,m,1
74.601,d,1
75.101,s,1
79.601,d,1
81.101,o,1
82.101,p,1
84.351,o,1
87.351,d,1
88.317,m,1
92.851,o,1
93.851,p,1
98.851,o,1
103.851,p,1
105.353,o,1
106.852,d,1
107.851,m,1
111.851,s,1
114.601,a,1
117.351,s,1
121.852,d,1
127.601,s,1
133.567,d,1
139.601,m,1
146.601,o,1
147.601,p,1
148.565,o,1
151.068,d,1
154.102,m,1
170.351,o,1
171.314,p,1
173.816,o,1
178.352,d,1
179.851,m,1
185.851,o,1
186.851,p,1
189.852,o,1
199.601,d,1
202.101,m,1
216.564,o,1
217.601,p,1
221.101,o,1
223.601,d,1
227.601,s,1
233.101,a,1
237.101,s,1
241.101,d,1
241.565,m,1
252.351,o,1
253.351,p,1
257.851,o,1
268.352,d,1
270.352,m,1
277.851,o,1
278.851,p,1
280.601,o,1
285.101,d,1
288.101,s,1
290.601,a,1
293.101,s,1
296.601,d,1
299.6,END,0
