time,code,class
0.023, p,1
148.042, o,1
150.441, d,1
152.844, s,1
155.518,a,1
162.721, s,1
165.123, d,1
166.991, o,1
168.326, p,1
220.545, o,1
222.581, d,1
224.623, s,1
226.756,a,1
228.323, s,1
230.926, d,1
235.061, o,1
237.662, p,1
243.769, o,1
244.803, d,1
246.371, s,1
252.045, d,1
254.146, o,1
256.215, p,1
257.787, o,1
259.388, d,1
261.491, s,1
264.09,a,1
266.158, s,1
268.194, d,1
269.727, o,1
273.798, d,1
276.902, s,1
279.472,a,1
281.539, s,1
283.61, d,1
287.18, s,1
291.029,a,1
300.114,END,0
