time,code,class
0.023,a,1
0.43,s,1
1.76,a,1
14.578,s,1
16.709,a,1
33.258,s,1
34.26,a,1
38.797,s,1
39.602,a,1
61.788,s,1
62.588,a,1
82.608,s,1
85.044,a,1
159.585,s,1
164.657,a,1
170.533,s,1
176.139,a,1
182.274,s,1
186.55,d,1
189.214,o,1
190.284,p,1
196.425,o,1
200.964,d,1
204.432,s,1
206.031,a,1
220.181,s,1
225.155,a,1
231.024,s,1
234.762,a,1
239.836,s,1
241.7,m,1
246.374,s,1
247.439,a,1
257.315,s,1
260.72,a,1
263.922,s,1
268.196,m,1
269.53,o,1
270.597,p,1
287.413,o,1
289.015,d,1
289.286,m,1
290.523,s,1
291.44,a,1
293.869,s,1
296.313,d,1
296.615,m,1
297.532,o,1
298.749,p,1
300,END,0
