time,code,class
0.802, p,1
8.279, o,1
14.684, p,1
18.687, o,1
21.358, p,1
26.161, o,1
37.372, p,1
41.911, o,1
43.947, p,1
47.683, o,1
48.483, p,1
83.586, o,1
87.594, p,1
101.471, o,1
102.538, p,1
112.147, o,1
114.015, p,1
132.433, o,1
134.036, p,1
138.273, o,1
140.676, p,1
150.019, o,1
153.757, p,1
166.569, o,1
172.174, p,1
187.155, o,1
188.492, m,1
189.858, s,1
190.66,a,1
194.396, s,1
195.732,a,1
201.874, s,1
202.937,a,1
216.017, s,1
220.021, d,1
222.69, o,1
224.025, p,1
234.437, o,1
237.107, p,1
247.249, o,1
251.787, p,1
260.862, o,1
267.538, m,1
268.873, o,1
271.539, p,1
275.543, o,1
281.416, p,1
290.328, o,1
293.686, m,1
297.624, o,1
299.758, d,1
300.324,END,0
