time,code,class
0.234,a,1
2.053,s,1
3.924,d,1
4.19,m,1
13.798,d,1
15.4,m,1
16.201,d,1
21.807,o,1
24.742,p,1
30.35,o,1
32.752,d,1
33.019,m,1
35.152,d,1
35.421,s,1
37.822,a,1
41.826,s,1
43.695,d,1
44.228,m,1
46.633,d,1
46.899,o,1
50.101,p,1
54.905,o,1
55.974,p,1
57.311,o,1
58.646,d,1
60.245,s,1
63.448,a,1
71.188,s,1
74.659,a,1
126.478,s,1
127.278,a,1
136.887,s,1
138.227,a,1
168.655,s,1
169.188,a,1
179.33,s,1
180.135,a,1
204.755,s,1
205.823,a,1
213.032,s,1
213.299,a,1
226.377,s,1
226.645,a,1
234.653,s,1
235.453,a,1
251.471,s,1
251.736,a,1
257.075,s,1
257.608,a,1
261.88,s,1
264.281,a,1
278.966,s,1
279.765,a,1
283.234,s,1
284.301,a,1
300.046,END,0
