time,code,class
0.023,a,1
17.876,s,1
18.14,a,1
21.613,s,1
22.413,a,1
26.148,s,1
26.682,a,1
38.159,s,1
38.43,a,1
43.232,s,1
43.501,a,1
60.047,s,1
60.581,a,1
67.523,s,1
68.857,a,1
80.301,s,1
81.639,a,1
104.863,s,1
106.997,a,1
109.664,s,1
111.265,a,1
115.27,s,1
116.071,a,1
119.276,s,1
120.509,a,1
137.862,s,1
138.863,a,1
153.812,s,1
154.343,a,1
163.151,s,1
163.685,a,1
167.689,s,1
168.757,a,1
172.231,s,1
174.364,a,1
177.032,s,1
178.368,a,1
189.312,s,1
189.58,a,1
197.587,s,1
199.455,a,1
216.808,s,1
217.338,a,1
237.892,s,1
238.162,a,1
241.364,s,1
241.896,a,1
245.903,s,1
246.704,a,1
264.855,s,1
265.124,a,1
300,END,0
