time,code,class
0.14,a,1
26.55,s,1
27.083,a,1
43.364,s,1
43.931,a,1
60.215,s,1
60.753,a,1
67.289,s,1
68.623,a,1
80.368,s,1
81.702,a,1
104.925,s,1
107.328,a,1
109.997,s,1
111.602,a,1
115.604,s,1
116.405,a,1
119.875,s,1
120.407,a,1
137.759,s,1
139.097,a,1
143.098,s,1
143.635,a,1
163.118,s,1
164.185,a,1
167.658,s,1
168.992,a,1
177.531,s,1
178.335,a,1
198.086,s,1
198.62,a,1
216.904,s,1
217.705,a,1
237.726,s,1
238.525,a,1
241.463,s,1
242.797,a,1
246.267,s,1
247.068,a,1
264.418,s,1
265.219,a,1
299.944,END,0
