time,code,class
4.364,a,1
17.939, s,1
18.21,a,1
21.413, s,1
21.946,a,1
25.684, s,1
25.949,a,1
60.384, s,1
60.651,a,1
68.391, s,1
68.927,a,1
80.405, s,1
81.206,a,1
104.962, s,1
107.098,a,1
110.035, s,1
111.369,a,1
115.371, s,1
116.17,a,1
119.909, s,1
120.175,a,1
137.96, s,1
138.495,a,1
143.301, s,1
143.567,a,1
153.711, s,1
153.979,a,1
163.055, s,1
163.855,a,1
167.591, s,1
168.658,a,1
172.131, s,1
174.266,a,1
176.933, s,1
178.266,a,1
189.213, s,1
189.747,a,1
198.29, s,1
199.621,a,1
216.704, s,1
217.243,a,1
237.795, s,1
238.061,a,1
241.531, s,1
241.797,a,1
246.069, s,1
246.603,a,1
264.489, s,1
265.286,a,1
299.865,END,0
