time,code,class
2.809,a,1
9.351,s,1
10.851,m,1
11.351,o,1
12.351,p,1
15.851,o,1
17.351,d,1
21.851,s,1
22.814,a,1
27.351,s,1
28.06,a,1
38.053,s,1
38.601,a,1
43.601,s,1
44.101,a,1
74.101,s,1
76.852,d,1
78.052,o,1
79.101,p,1
83.052,o,1
83.601,p,1
87.851,o,1
91.351,p,1
94.351,o,1
97.351,d,1
97.351,m,1
98.851,s,1
99.851,a,1
121.601,s,1
122.601,a,1
138.558,s,1
139.101,a,1
141.601,s,1
144.101,a,1
150.601,s,1
151.303,a,1
157.85,s,1
158.351,a,1
199.056,s,1
200.601,a,1
203.101,s,1
204.059,a,1
215.101,s,1
215.101,a,1
221.553,s,1
222.601,a,1
235.851,s,1
238.351,m,1
239.301,o,1
240.851,p,1
250.851,o,1
252.851,d,1
253.851,s,1
255.851,a,1
259.302,s,1
259.851,a,1
269.303,s,1
271.351,d,1
271.805,m,1
277.601,s,1
278.601,a,1
280.601,s,1
282.601,d,1
282.601,m,1
294.101,o,1
294.588,p,1
297.601,o,1
299.101,d,1
299.6,END,0
