time,code,class
0.255,o,1
1.351,m,1
6.101,d,1
6.6,s,1
7.101,a,1
10.601,s,1
11.601,a,1
16.601,s,1
19.101,d,1
19.601,m,1
22.101,o,1
23.35,p,1
42.101,o,1
44.601,m,1
48.601,s,1
52.1,a,1
62.101,s,1
64.601,m,1
68.601,o,1
69.101,p,1
72.601,o,1
73.601,p,1
79.351,o,1
82.851,p,1
87.351,o,1
90.351,d,1
90.845,m,1
111.352,o,1
112.851,p,1
125.601,o,1
127.601,d,1
129.601,o,1
130.601,p,1
132.101,o,1
137.101,d,1
137.601,s,1
140.101,a,1
146.065,s,1
148.569,a,1
172.352,a,1
176.322,s,1
176.851,a,1
182.851,s,1
185.351,a,1
198.601,s,1
201.101,a,1
204.069,s,1
209.297,d,1
209.797,o,1
210.797,p,1
215.297,o,1
218.297,p,1
222.298,o,1
227.298,p,1
241.797,o,1
244.019,d,1
245.047,m,1
249.018,s,1
250.547,m,1
253.047,o,1
253.547,p,1
262.048,o,1
262.547,p,1
269.269,o,1
277.797,m,1
278.797,d,1
279.798,s,1
281.763,a,1
286.297,s,1
289.798,d,1
290.297,m,1
291.768,o,1
293.298,p,1
299.747,END,0
