time,code,class
0.023,o,1
0.443,d,1
0.975,m,1
6.316,d,1
6.846,s,1
7.381,a,1
10.588,s,1
11.654,a,1
16.458,s,1
19.129,d,1
19.395,m,1
22.063,d,1
22.597,o,1
23.397,p,1
42.083,o,1
44.488,d,1
44.755,m,1
48.221,d,1
48.49,s,1
52.226,a,1
62.135,s,1
63.47,d,1
63.737,m,1
68.275,d,1
68.543,o,1
69.344,p,1
72.279,o,1
73.613,p,1
79.49,o,1
82.691,p,1
86.426,o,1
90.166,d,1
90.697,m,1
110.718,d,1
111.251,o,1
112.853,p,1
125.666,o,1
128.068,d,1
129.137,o,1
131.273,p,1
132.338,o,1
137.413,d,1
137.947,s,1
140.081,a,1
146.487,s,1
149.155,a,1
176.65,s,1
177.45,a,1
183.056,s,1
185.458,a,1
198.272,s,1
200.94,a,1
203.676,s,1
208.483,d,1
209.82,o,1
210.884,p,1
215.422,o,1
218.093,p,1
222.362,o,1
227.437,p,1
242.115,o,1
243.988,d,1
244.521,m,1
249.324,d,1
249.858,s,1
250.127,d,1
251.458,m,1
252.527,d,1
253.06,o,1
253.595,p,1
262.135,o,1
266.139,p,1
269.61,o,1
276.551,d,1
277.083,m,1
277.621,d,1
278.952,s,1
281.888,a,1
286.426,s,1
289.896,d,1
289.896,m,1
291.858,d,1
292.159,o,1
293.374,p,1
300.065,END,0
