time,code,class
0.21, o,1
1.011, m,1
6.415, s,1
7.218,a,1
10.952, s,1
11.487,a,1
16.826, s,1
19.229, m,1
22.432, o,1
23.234, p,1
41.917, o,1
45.122, m,1
49.66, s,1
52.062,a,1
61.401, s,1
63.541, m,1
68.079, o,1
69.146, p,1
72.082, o,1
73.415, p,1
79.556, o,1
82.493, p,1
86.497, o,1
90.501, m,1
111.088, o,1
113.223, p,1
125.766, o,1
128.168, d,1
129.005, o,1
131.675, p,1
132.205, o,1
137.647, d,1
138.449, s,1
140.317,a,1
146.188, s,1
148.859,a,1
183.026, s,1
185.162,a,1
198.507, s,1
200.909,a,1
203.643, s,1
208.719, d,1
209.786, o,1
210.586, p,1
215.392, o,1
218.062, p,1
222.062, o,1
227.137, p,1
242.085, o,1
244.487, m,1
249.025, s,1
249.827, m,1
252.763, o,1
253.564, p,1
262.106, o,1
265.841, p,1
269.845, o,1
276.786, m,1
278.922, s,1
281.859,a,1
286.664, s,1
290.553, m,1
292.105, o,1
293.342, p,1
299.917,END,0
