time,code,class
0.111,a,1
9.465,s,1
13.467,d,1
16.407,o,1
24.412,p,1
33.754,o,1
37.492,d,1
39.894,s,1
43.101,a,1
57.311,s,1
61.318,d,1
61.851,m,1
62.918,d,1
63.184,o,1
65.854,p,1
85.073,o,1
87.209,p,1
96.818,o,1
98.152,p,1
116.571,o,1
119.508,d,1
121.109,s,1
124.579,a,1
126.714,s,1
128.053,d,1
128.586,m,1
129.385,d,1
129.919,o,1
132.321,p,1
135.256,o,1
137.658,p,1
141.664,o,1
143.799,p,1
149.938,o,1
152.073,p,1
161.684,o,1
162.216,p,1
179.567,o,1
183.041,p,1
188.911,o,1
189.711,p,1
212.136,o,1
213.471,p,1
252.743,o,1
253.541,p,1
297.513,o,1
298.435,p,1
299.947,END,0
