time,code,class
0.254,a,1
128.101,s,1
129.601,a,1
133.568,s,1
134.1,a,1
149.101,s,1
155.601,m,1
156.601,o,1
157.601,p,1
159.101,o,1
161.601,d,1
163.101,s,1
163.579,a,1
167.852,s,1
169.851,d,1
170.851,m,1
172.851,o,1
173.351,p,1
175.352,o,1
176.851,d,1
178.352,s,1
180.351,a,1
181.323,s,1
183.821,d,1
186.322,m,1
186.851,o,1
189.851,p,1
190.851,o,1
192.601,d,1
194.067,s,1
195.101,a,1
197.601,s,1
200.601,a,1
206.569,s,1
210.601,d,1
212.101,m,1
213.601,o,1
218.101,p,1
221.101,o,1
223.101,d,1
223.601,m,1
224.601,s,1
229.601,d,1
231.572,m,1
234.068,o,1
238.101,p,1
239.064,o,1
240.101,p,1
249.851,o,1
257.351,p,1
272.851,o,1
275.101,d,1
276.601,s,1
278.101,a,1
280.601,s,1
283.101,d,1
284.568,o,1
288.601,d,1
290.101,s,1
294.101,a,1
298.101,s,1
299.6,END,0
