time,code,class
0,a,1
128.137,s,1
128.137,a,1
133.411,s,1
134.209,a,1
149.324,s,1
154.93,m,1
156.534,o,1
156.934,p,1
159.339,o,1
161.338,d,1
161.742,m,1
162.745,s,1
163.538,a,1
167.948,s,1
170.346,m,1
172.749,o,1
173.353,p,1
174.816,o,1
177.222,m,1
178.426,s,1
180.156,a,1
181.357,s,1
183.865,m,1
187.063,o,1
189.8,p,1
190.804,o,1
193.005,m,1
193.806,s,1
195.004,a,1
197.812,s,1
201.013,a,1
207.017,s,1
210.621,m,1
214.225,o,1
217.828,p,1
221.03,o,1
223.432,m,1
224.634,s,1
230.243,m,1
233.947,o,1
238.348,p,1
239.554,o,1
240.352,p,1
249.829,o,1
257.238,p,1
273.255,o,1
275.252,d,1
276.858,s,1
278.053,a,1
280.862,s,1
282.863,d,1
284.465,o,1
288.335,d,1
289.934,s,1
293.717,a,1
297.863,s,1
300.131,END,0
