time,code,class
0.879,a,1
129.607, s,1
129.874,a,1
133.876, s,1
134.146,a,1
149.359, s,1
154.963, m,1
156.3, o,1
157.101, p,1
158.969, o,1
161.374, m,1
162.974, s,1
164.041,a,1
168.047, s,1
170.182, m,1
172.582, o,1
173.382, p,1
174.984, o,1
176.852, m,1
178.187, s,1
180.591,a,1
181.123, s,1
183.796, m,1
186.731, o,1
189.935, p,1
190.736, o,1
192.604, m,1
193.672, s,1
195.275,a,1
197.676, s,1
200.609,a,1
207.015, s,1
210.485, m,1
213.958, o,1
217.694, p,1
221.433, o,1
223.302, m,1
224.634, s,1
229.976, m,1
233.98, o,1
238.781, p,1
239.052, o,1
240.115, p,1
250.262, o,1
257.202, p,1
272.949, o,1
275.085, d,1
276.687, s,1
278.288,a,1
280.96, s,1
283.094, d,1
284.429, o,1
288.435, d,1
290.133, s,1
293.883,a,1
297.947, s,1
300.131,END,0
