time,code,class
0.162,s,1
1.232,d,1
2.297,m,1
7.634,d,1
7.906,o,1
9.239,p,1
18.048,o,1
19.117,p,1
21.248,o,1
23.118,p,1
35.129,o,1
38.6,p,1
45.806,o,1
46.34,p,1
60.221,o,1
61.555,p,1
63.695,o,1
65.562,p,1
74.635,o,1
77.838,p,1
81.575,o,1
85.312,p,1
88.251,o,1
89.318,p,1
91.718,o,1
93.057,p,1
95.725,o,1
97.058,p,1
99.995,o,1
101.596,p,1
110.404,o,1
113.875,d,1
114.675,m,1
117.612,d,1
117.878,s,1
119.212,a,1
121.618,s,1
122.685,d,1
124.019,o,1
125.62,p,1
128.288,o,1
130.958,d,1
133.627,s,1
136.564,a,1
141.104,s,1
142.437,d,1
143.771,o,1
145.106,p,1
146.707,o,1
148.312,p,1
154.982,o,1
156.583,d,1
157.117,m,1
160.321,d,1
160.855,s,1
162.456,a,1
172.6,s,1
175.272,d,1
175.54,m,1
177.674,d,1
178.207,o,1
181.142,p,1
182.209,o,1
183.277,d,1
185.414,s,1
188.35,a,1
191.285,s,1
192.886,a,1
195.556,s,1
199.026,d,1
201.431,o,1
205.167,d,1
205.7,m,1
208.635,d,1
209.17,s,1
210.772,a,1
220.113,s,1
222.249,a,1
228.389,s,1
231.594,d,1
233.729,o,1
236.13,p,1
238.265,o,1
240.403,d,1
242.536,s,1
246.807,a,1
249.476,s,1
250.544,a,1
265.492,s,1
267.361,a,1
278.572,s,1
279.906,a,1
286.849,s,1
294.189,a,1
299.358,s,1
299.358,END,0
