time,code,class
0.023,a,1
7.07,s,1
9.209,d,1
9.742,m,1
11.877,d,1
12.143,o,1
14.013,p,1
15.615,o,1
16.681,d,1
16.947,m,1
19.883,d,1
19.883,s,1
21.485,a,1
24.421,s,1
25.656,a,1
31.266,s,1
32.866,a,1
38.103,s,1
40.24,d,1
41.038,m,1
43.174,d,1
43.707,o,1
46.644,p,1
50.65,o,1
52.252,d,1
55.186,m,1
56.253,d,1
56.52,s,1
58.389,a,1
59.99,s,1
61.592,d,1
62.126,m,1
63.995,d,1
64.529,o,1
66.93,p,1
70.668,o,1
72.27,p,1
74.938,o,1
76.01,p,1
78.945,o,1
80.01,p,1
85.616,o,1
86.683,p,1
90.957,o,1
94.96,p,1
96.298,o,1
100.565,p,1
102.433,o,1
106.972,d,1
111.074,s,1
115.348,d,1
115.883,m,1
118.283,d,1
118.817,o,1
121.218,p,1
124.423,o,1
126.757,d,1
127.558,m,1
133.164,d,1
133.697,o,1
138.237,p,1
139.573,o,1
141.173,d,1
141.706,m,1
152.983,s,1
154.318,a,1
155.656,s,1
157.788,d,1
158.326,m,1
159.991,d,1
160.525,o,1
162.928,p,1
165.596,o,1
167.732,d,1
170.403,s,1
172.269,a,1
173.34,s,1
174.938,d,1
175.475,m,1
181.111,d,1
181.379,o,1
182.446,p,1
189.119,o,1
191.525,d,1
192.325,m,1
194.726,d,1
195.26,s,1
197.662,a,1
201.398,s,1
203.533,d,1
204.068,m,1
208.605,d,1
209.139,o,1
212.614,p,1
213.945,o,1
216.079,d,1
216.614,m,1
221.686,d,1
222.219,s,1
224.889,a,1
230.494,s,1
232.897,d,1
233.698,m,1
237.969,d,1
238.236,s,1
241.705,a,1
249.716,s,1
252.65,d,1
253.183,m,1
257.988,d,1
259.591,m,1
262.794,d,1
263.327,s,1
264.394,a,1
265.997,s,1
268.933,d,1
269.466,m,1
274.807,d,1
276.142,m,1
279.61,s,1
283.347,a,1
286.02,s,1
289.489,a,1
300.403,END,0
