time,code,class
0.091,s,1
0.894,a,1
7.304,s,1
9.438,d,1
11.038,o,1
12.907,p,1
14.508,o,1
15.844,p,1
26.521,o,1
29.457,d,1
31.596,s,1
36.931,d,1
38.8,o,1
41.202,p,1
42.269,o,1
44.138,p,1
47.341,o,1
50.278,p,1
52.68,o,1
56.684,p,1
59.624,o,1
60.424,p,1
62.558,o,1
66.295,p,1
68.696,o,1
76.17,d,1
79.106,s,1
82.31,a,1
83.111,s,1
86.851,d,1
87.916,s,1
89.786,d,1
92.721,o,1
98.058,d,1
102.597,s,1
106.334,a,1
111.939,s,1
114.346,d,1
114.879,m,1
117.013,d,1
117.813,o,1
120.748,p,1
123.15,o,1
125.552,d,1
126.356,m,1
132.227,d,1
132.494,s,1
134.629,a,1
140.503,s,1
142.64,d,1
143.171,m,1
146.107,d,1
146.374,o,1
149.31,p,1
152.78,o,1
155.984,p,1
161.589,o,1
163.191,p,1
168.533,o,1
170.667,p,1
176.538,o,1
183.479,s,1
184.28,m,1
192.82,s,1
196.725,a,1
199.66,s,1
200.464,a,1
206.867,s,1
210.072,a,1
215.142,s,1
217.278,a,1
219.947,s,1
222.619,a,1
225.018,s,1
226.888,a,1
231.158,s,1
234.094,d,1
234.628,m,1
246.912,d,1
247.445,o,1
251.446,p,1
253.581,o,1
256.249,d,1
256.783,m,1
260.521,d,1
261.321,o,1
263.19,p,1
265.592,o,1
268.795,d,1
269.596,m,1
279.74,d,1
280.541,o,1
282.943,p,1
300.486,o,1
300.486,END,0
