time,code,class
2.163,a,1
7.235, s,1
9.37, d,1
10.975, o,1
14.177, p,1
14.444, o,1
16.578, p,1
26.457, o,1
29.394, d,1
31.862, s,1
36.668, d,1
38.533, o,1
41.204, p,1
41.738, o,1
44.14, p,1
47.075, o,1
50.015, p,1
52.683, o,1
56.687, p,1
59.355, o,1
60.157, p,1
63.093, o,1
66.028, p,1
68.967, o,1
76.17, d,1
78.84, s,1
82.047,a,1
82.847, s,1
86.583, d,1
87.917, s,1
89.786, d,1
92.724, o,1
98.058, d,1
102.599, s,1
106.335,a,1
112.475, s,1
114.88, m,1
118.08, o,1
120.752, p,1
123.154, o,1
126.09, m,1
132.495, s,1
134.363,a,1
140.505, s,1
143.438, m,1
146.111, o,1
149.579, p,1
153.049, o,1
155.985, p,1
161.86, o,1
163.462, p,1
168.532, o,1
170.666, p,1
177.339, o,1
183.746, m,1
192.824, s,1
196.557,a,1
199.231, s,1
200.831,a,1
206.703, s,1
210.171,a,1
215.245, s,1
217.114,a,1
219.517, s,1
222.186,a,1
225.657, s,1
226.72,a,1
231.258, s,1
234.194, m,1
247.278, o,1
251.817, p,1
253.418, o,1
256.887, m,1
261.155, o,1
263.824, p,1
264.895, o,1
269.167, m,1
281.979, o,1
283.314, p,1
284.112, o,1
285.183, p,1
300.552,END,0
