time,code,class
1.144, p,1
8.618, o,1
14.088, d,1
16.051, s,1
18.724,a,1
28.604, s,1
33.143, m,1
60.869, s,1
63.006,a,1
68.378, s,1
74.347, d,1
75.951, o,1
78.719, p,1
93.434, o,1
98.241, m,1
125.928, s,1
127.804,a,1
132.409, s,1
133.242,a,1
142.618, s,1
146.686, m,1
162.002, o,1
163.871, p,1
170.378, o,1
172.244, d,1
174.113, s,1
177.587,a,1
185.46, s,1
187.864, d,1
189.733, o,1
191.866, p,1
203.572, o,1
206.514, m,1
225.065, d,1
226.133, s,1
228.368,a,1
256.297, s,1
257.631,a,1
269.275, s,1
274.349, m,1
299.928,END,0
