time,code,class
0.066,p,1
3.541,o,1
4.342,p,1
9.213,o,1
9.98,p,1
21.498,o,1
22.259,p,1
34.539,o,1
35.306,p,1
37.608,o,1
37.608,p,1
52.961,o,1
53.724,p,1
109.746,o,1
110.514,p,1
127.4,o,1
127.4,p,1
132.769,o,1
137.844,d,1
140.145,s,1
142.446,a,1
145.516,s,1
147.052,d,1
148.587,o,1
150.122,p,1
156.26,o,1
157.03,p,1
179.283,o,1
180.053,p,1
186.192,o,1
186.192,p,1
224.562,o,1
226.097,d,1
227.264,m,1
231.103,d,1
242.168,s,1
233.909,a,1
240.051,s,1
241.58,d,1
243.113,o,1
244.649,p,1
246.35,o,1
248.653,d,1
250.954,s,1
254.028,a,1
287.792,s,1
290.094,d,1
292.79,o,1
295.509,p,1
299.568,o,1
299.864,d,1
299.864,END,0
