time,code,class
1.332,a,1
11.21,s,1
14.411,a,1
99.195,s,1
99.964,a,1
113.781,s,1
113.781,a,1
119.151,s,1
121.723,d,1
124.02,o,1
127.09,p,1
132.462,o,1
135.534,p,1
141.672,o,1
144.741,p,1
157.793,o,1
159.324,p,1
167.764,o,1
169.002,p,1
169.772,o,1
171.304,p,1
176.673,o,1
177.44,p,1
198.929,o,1
199.698,p,1
205.071,o,1
207.373,p,1
217.348,o,1
218.117,p,1
236.535,o,1
237.305,p,1
264.928,o,1
264.928,p,1
271.835,o,1
277.975,d,1
280.276,o,1
284.117,p,1
288.718,o,1
289.486,p,1
292.449,o,1
296.995,d,1
298.821,o,1
299.739,d,1
299.739,END,0
