time,code,class
1.404, p,1
5.406, o,1
6.743, d,1
7.542, m ,1
10.212, d,1
10.212, s,1
10.746,a,1
16.884, s,1
17.686, d,1
19.556, o,1
22.223, p,1
23.291, o,1
24.894, d,1
25.43, m ,1
27.298, d,1
27.83, s,1
32.901,a,1
36.638, s,1
37.973,a,1
42.513, s,1
44.115, d,1
44.648, m ,1
47.316, d,1
47.848, o,1
49.184, p,1
53.189, o,1
54.522, d,1
56.124, s,1
58.793,a,1
62.532, s,1
63.601, d,1
64.399, o,1
70.004, d,1
70.539, m ,1
72.41, d,1
72.41, s,1
74.011,a,1
83.35, s,1
84.953, d,1
86.553, o,1
88.957, p,1
94.296, o,1
95.631, d,1
97.231, s,1
101.502,a,1
104.708, s,1
106.307, d,1
107.642, o,1
111.645, p,1
115.119, o,1
116.186, d,1
117.788, s,1
120.722,a,1
135.938, s,1
136.739, d,1
137.272, m ,1
139.674, d,1
140.208, o,1
141.81, p,1
146.613, o,1
148.215, d,1
149.817, s,1
154.889, d,1
156.757, o,1
159.693, p,1
161.295, o,1
162.633, d,1
163.163, m ,1
165.032, d,1
165.299, s,1
167.435,a,1
169.84, s,1
170.906, d,1
171.174, m ,1
173.574, d,1
173.84, o,1
181.048, d,1
182.649, s,1
185.319,a,1
188.525, s,1
189.591, d,1
191.726, o,1
194.662, p,1
197.331, o,1
198.132, d,1
198.935, m ,1
200.535, d,1
200.802, s,1
204.808,a,1
206.942, s,1
208.01, d,1
209.877, o,1
213.08, p,1
214.948, o,1
216.288, d,1
216.818, m ,1
218.153, d,1
218.153, s,1
221.088,a,1
224.025, s,1
225.096, d,1
225.362, m ,1
227.761, d,1
228.028, o,1
230.698, p,1
233.367, o,1
234.436, d,1
236.036, s,1
238.438,a,1
248.583, s,1
249.916, d,1
251.253, o,1
254.455, p,1
260.865, o,1
262.197, d,1
262.997, m ,1
266.2, d,1
266.2, s,1
268.335,a,1
280.084, s,1
281.682, d,1
283.55, o,1
286.486, p,1
293.786, o,1
295.305, d,1
295.915, m ,1
297.742, d,1
298.049, s,1
299.823,a,1
299.823,END,0
