time,code,class
0, p,1
4.928, o,1
6.263, d,1
6.53, m,1
9.2, d,1
9.6, s,1
11.469,a,1
16.407, s,1
17.475, d,1
19.209, o,1
22.012, p,1
22.68, o,1
23.881, d,1
24.281, m,1
26.817, d,1
27.485, s,1
31.756,a,1
36.159, s,1
37.228,a,1
42.432, s,1
44.034, d,1
44.168, m,1
46.703, d,1
47.238, o,1
49.106, p,1
52.576, o,1
54.444, d,1
55.913, s,1
58.582,a,1
61.986, s,1
63.187, d,1
64.388, o,1
69.559, d,1
69.826, m,1
71.562, d,1
72.095, s,1
73.83,a,1
83.307, s,1
84.775, d,1
86.51, o,1
89.046, p,1
93.85, o,1
95.052, d,1
96.653, s,1
100.924,a,1
103.994, s,1
105.996, d,1
107.731, o,1
111.202, p,1
114.538, o,1
116.006, d,1
117.475, s,1
120.41,a,1
135.359, s,1
136.693, d,1
137.094, m,1
139.096, d,1
139.496, o,1
141.632, p,1
145.903, o,1
147.771, d,1
149.507, s,1
152.576,a,1
152.976, s,1
154.578, d,1
156.58, o,1
159.517, p,1
160.718, o,1
162.319, d,1
162.719, m,1
164.588, d,1
164.988, s,1
167.391,a,1
169.126, s,1
170.861, d,1
170.994, m,1
173.263, d,1
173.53, o,1
180.737, d,1
182.339, s,1
185.142,a,1
188.078, s,1
189.413, d,1
191.548, o,1
194.618, p,1
196.753, o,1
197.821, d,1
198.221, m,1
199.956, d,1
200.223, s,1
204.761,a,1
206.63, s,1
207.831, d,1
209.567, o,1
212.636, p,1
214.772, o,1
216.039, d,1
216.84, m,1
217.374, d,1
218.042, s,1
220.977,a,1
223.514, s,1
224.848, d,1
225.115, m,1
227.117, d,1
227.651, o,1
230.454, p,1
232.856, o,1
234.191, d,1
235.659, s,1
238.329,a,1
248.072, s,1
249.54, d,1
251.141, o,1
254.478, p,1
260.617, o,1
262.085, d,1
262.886, m,1
265.689, d,1
266.089, s,1
268.091,a,1
279.97, s,1
281.305, d,1
283.04, o,1
286.51, p,1
293.45, o,1
295.185, d,1
295.586, m,1
297.053, d,1
297.32, s,1
299.724,a,1
