time,code,class
41.026, d,1
43.695, m ,1
50.101, d,1
50.903, o,1
51.97, p,1
62.648, o,1
64.514, d,1
68.251, s,1
70.121,a,1
71.723, s,1
76.261, d,1
77.598, o,1
79.198, p,1
84.001, o,1
86.673, d,1
89.608, s,1
96.282, d,1
96.549, m ,1
101.651, d,1
106.457, o,1
107.524, p,1
109.127, o,1
112.6, p,1
114.732, o,1
118.468, p,1
122.207, o,1
122.207, d,1
126.143, s,1
129.079,a,1
130.682, s,1
138.522, d,1
140.927, o,1
142.26, p,1
153.203, o,1
155.338, p,1
162.813, o,1
168.155, d,1
168.685, s,1
170.02,a,1
197.247, s,1
199.916, d,1
202.319, o,1
203.921, p,1
207.394, o,1
210.594, d,1
212.731, m ,1
213.799, d,1
214.598, s,1
216.732,a,1
222.343, s,1
225.009, d,1
226.609, o,1
228.75, p,1
233.284, o,1
235.422, d,1
237.02, s,1
239.96,a,1
248.534, s,1
252.271, d,1
253.069, s,1
266.153,a,1
266.153, d,1
268.285, o,1
270.954, p,1
300.077,END,0
