time,code,class
2.838,a,1
24.46,s,1
29.265,a,1
49.284,s,1
52.487,a,1
62.497,s,1
64.101,a,1
87.322,s,1
88.123,a,1
156.991,s,1
159.795,m,1
161.397,o,1
162.598,p,1
167.002,o,1
170.205,d,1
172.607,m,1
175.009,s,1
177.012,a,1
181.817,s,1
185.02,d,1
186.622,m,1
189.024,o,1
189.825,p,1
194.23,o,1
195.831,d,1
198.233,s,1
200.235,a,1
201.436,s,1
203.437,d,1
205.841,o,1
206.641,p,1
210.644,o,1
213.849,m,1
218.653,s,1
220.254,a,1
226.661,s,1
227.862,d,1
229.864,o,1
231.066,p,1
235.47,o,1
237.472,m,1
240.674,s,1
243.88,a,1
246.283,s,1
248.283,m,1
250.685,o,1
251.487,p,1
255.891,o,1
257.092,m,1
259.093,s,1
261.095,a,1
266.702,s,1
269.503,m,1
270.705,o,1
271.107,p,1
273.909,o,1
276.711,m,1
279.514,s,1
286.721,a,1
295.53,s,1
297.933,d,1
301.323,o,1
301.323,END,0
