time,code,class
1.04,a,1
49.655, s,1
54.191,a,1
72.343, s,1
75.279,a,1
156.728, s,1
158.061, d,1
159.399, m,1
160.465, d,1
161.532, o,1
162.868, p,1
166.603, o,1
170.606, d,1
171.673, m,1
174.076, d,1
174.345, s,1
176.748,a,1
182.62, s,1
185.025, d,1
185.555, m,1
187.958, d,1
188.499, o,1
189.291, p,1
193.832, o,1
195.431, d,1
197.834, s,1
200.24,a,1
201.038, s,1
203.172, d,1
205.307, o,1
206.642, p,1
209.847, o,1
212.95, d,1
213.753, m,1
218.288, d,1
218.826, s,1
220.159,a,1
226.564, s,1
227.899, d,1
229.498, o,1
232.438, p,1
235.374, o,1
236.441, d,1
237.509, m,1
240.214, d,1
240.743, s,1
243.417,a,1
245.882, s,1
247.483, d,1
247.754, m,1
249.092, d,1
249.889, o,1
251.22, p,1
253.36, o,1
256.56, d,1
257.093, m,1
258.161, d,1
258.965, s,1
261.367,a,1
266.705, s,1
268.305, d,1
268.573, m,1
269.371, d,1
270.174, o,1
271.51, p,1
273.644, o,1
276.312, d,1
276.579, m,1
278.983, d,1
279.515, s,1
286.19,a,1
295.532, s,1
298.203, d,1
301.57, o,1
