time,code,class
0.297,a,1
7.488,s,1
9.489,d,1
13.494,s,1
18.699,d,1
21.102,o,1
26.707,d,1
29.109,s,1
33.114,a,1
49.931,s,1
53.133,m,1
54.334,o,1
56.737,p,1
58.738,o,1
61.142,d,1
62.743,s,1
66.747,a,1
95.576,s,1
98.378,m,1
100.381,s,1
101.582,a,1
124.804,s,1
127.207,a,1
132.413,s,1
136.816,a,1
141.222,s,1
146.027,a,1
180.061,s,1
183.264,d,1
185.666,o,1
187.267,p,1
193.273,o,1
194.875,d,1
198.411,o,1
199.213,p,1
204.018,o,1
212.426,d,1
213.628,s,1
217.631,a,1
283.697,s,1
285.7,a,1
298.913,s,1
300.198,a,1
300.198,END,0
