time,code,class
0.023,a,1
7.461, s,1
9.056, d,1
12.262, s,1
18.668, d,1
20.804, o,1
24.806, d,1
29.611, s,1
33.08,a,1
49.363, s,1
51.502, d,1
51.771, m,1
53.901, d,1
54.17, o,1
56.84, p,1
58.439, o,1
60.308, d,1
62.981, s,1
66.982,a,1
94.475, s,1
97.145, d,1
98.215, m,1
100.085, d,1
100.349, s,1
101.415,a,1
125.174, s,1
126.78,a,1
134.249, s,1
136.65,a,1
180.161, s,1
182.832, d,1
185.767, o,1
187.37, p,1
192.173, o,1
195.111, d,1
197.248, o,1
199.116, p,1
203.653, o,1
211.126, d,1
213.527, s,1
217.532,a,1
283.467, s,1
285.868,a,1
300.151,a,1
