time,code,class
0.653, m,1
4.393, d,1
6.525, m,1
11.865, d,1
12.664, o,1
21.306, d,1
22.643, m,1
27.446, d,1
27.983, s,1
32.255,a,1
35.725, s,1
38.658, d,1
42.398, o,1
47.735, p,1
50.135, o,1
51.741, d,1
55.21, s,1
57.076,a,1
60.814, s,1
64.019, d,1
66.954, o,1
69.89, p,1
75.227, o,1
78.699, d,1
79.234, m,1
82.97, d,1
83.507, s,1
84.838,a,1
88.84, s,1
89.91,a,1
94.718, s,1
97.382, d,1
100.856, o,1
104.858, p,1
107.797, o,1
110.462, d,1
110.729, m,1
112.331, d,1
112.598, s,1
114.206,a,1
123.543, s,1
127.017, d,1
127.285, m,1
128.614, d,1
129.416, o,1
131.551, p,1
135.856, o,1
138.259, d,1
140.13, s,1
142.528,a,1
182.034, s,1
183.907, d,1
184.439, m,1
186.039, d,1
186.571, o,1
192.982, d,1
195.118, s,1
197.785,a,1
208.73, s,1
211.269, d,1
211.53, m,1
212.865, d,1
213.669, o,1
216.073, p,1
218.206, o,1
220.605, d,1
222.476, s,1
225.411,a,1
229.183, s,1
235.321,a,1
239.359, s,1
241.765, d,1
244.432, o,1
249.234, p,1
268.721, o,1
272.06, p,1
289.947, o,1
293.145, d,1
296.084, s,1
