time,code,class
0.767,a,1
73.901, s,1
76.303,a,1
102.999, s,1
105.935, d,1
109.672, o,1
113.676, d,1
117.149, s,1
123.286,a,1
204.432, s,1
206.835, d,1
206.835, m,1
208.974, d,1
209.774, o,1
212.442, p,1
213.242, o,1
216.713, d,1
219.114, s,1
222.05,a,1
226.062, s,1
227.124,a,1
232.461, s,1
235.13, d,1
235.4, m,1
242.606, d,1
242.874, o,1
245.272, p,1
246.641, o,1
248.778, d,1
251.181, s,1
255.983, d,1
256.25, m,1
261.059, d,1
261.592, o,1
268.53, d,1
273.07, o,1
275.739, d,1
277.611, s,1
283.212, d,1
283.479, m,1
290.152, d,1
291.488, o,1
292.287, d,1
294.422, m,1
