time,code,class
2.532,a,1
19.616,s,1
21.752,a,1
26.293,s,1
28.429,a,1
49.845,s,1
51.953,a,1
63.901,s,1
65.965,a,1
73.735,s,1
76.351,a,1
98.693,s,1
100.269,a,1
103.965,s,1
106.071,d,1
109.769,o,1
114.413,d,1
118.581,s,1
123.291,a,1
128.567,s,1
129.595,a,1
175.911,s,1
177.511,a,1
203.433,s,1
207.043,d,1
209.675,o,1
212.879,p,1
213.913,o,1
217.077,d,1
219.119,s,1
221.721,a,1
225.925,s,1
227.523,a,1
232.233,s,1
235.903,d,1
238.535,m,1
242.713,d,1
243.247,o,1
245.905,p,1
246.943,o,1
249.051,d,1
251.689,s,1
256.391,d,1
257.457,m,1
261.655,d,1
262.163,o,1
268.933,d,1
273.105,o,1
275.705,d,1
278.311,s,1
283.049,d,1
285.145,m,1
290.371,d,1
291.891,o,1
293.491,d,1
299.801,d,1
299.801,END,0
