time,code,class
0.637,a,1
16.652,s,1
17.454,a,1
26.262,s,1
34.271,d,1
35.872,o,1
36.673,p,1
39.076,o,1
40.676,d,1
41.478,s,1
44.681,a,1
55.492,s,1
57.493,d,1
59.896,o,1
63.1,o,1
64.434,d,1
64.834,s,1
66.436,a,1
77.247,s,1
80.05,d,1
82.852,o,1
84.454,d,1
85.254,s,1
88.458,a,1
92.461,s,1
94.464,d,1
96.466,o,1
98.868,p,1
100.87,d,1
104.075,m,1
106.478,s,1
111.281,a,1
222.592,s,1
223.394,d,1
224.593,o,1
228.197,p,1
230.2,o,1
232.602,p,1
236.206,o,1
237.807,p,1
239.81,o,1
242.212,p,1
256.628,o,1
259.03,d,1
260.629,o,1
270.239,p,1
300.006,END,0
