time,code,class
1.984,a,1
16.132, s,1
17.468,a,1
25.209, s,1
34.819, d,1
35.883, o,1
37.752, p,1
38.552, o,1
40.421, d,1
42.293, s,1
45.493,a,1
55.637, s,1
58.038, d,1
60.445, o,1
63.377, d,1
64.447, s,1
67.114,a,1
76.991, s,1
80.996, d,1
85.803, s,1
89.272,a,1
92.74, s,1
94.61, d,1
96.48, o,1
98.613, p,1
101.283, o,1
103.417, d,1
104.22, m ,1
105.819, d,1
106.357, s,1
111.427,a,1
114.099, s,1
116.231,a,1
220.338, s,1
223.006, d,1
225.139, o,1
228.075, p,1
230.212, o,1
232.88, p,1
256.905, o,1
259.576, d,1
260.909, o,1
270.517, p,1
