time,code,class
0.023,a,1
16.552, s,1
17.353,a,1
26.429, s,1
33.903, d,1
35.773, o,1
37.107, p,1
38.708, o,1
40.31, d,1
41.911, s,1
44.847,a,1
55.793, s,1
57.661, d,1
60.064, o,1
63.266, d,1
64.335, s,1
66.736,a,1
77.413, s,1
80.35, d,1
85.155, s,1
88.624,a,1
93.163, s,1
94.764, d,1
96.367, o,1
98.501, p,1
101.705, o,1
103.04, d,1
104.107, m,1
105.709, d,1
105.976, s,1
111.314,a,1
113.983, s,1
116.119,a,1
221.023, s,1
222.892, d,1
224.76, o,1
227.965, p,1
230.099, o,1
232.502, p,1
257.06, o,1
259.195, d,1
260.53, o,1
270.139, p,1
300.103, p,1
