time,code,class
0.023,a,1
0.023,a,1
0.023,a,1
1.161,a,1
1.694,s,1
3.294,a,1
5.429,s,1
7.569,m ,1
9.168,d,1
9.703,o,1
11.039,p,1
14.773,o,1
16.378,d,1
18.244,s,1
20.112,a,1
23.049,s,1
25.183,m ,1
27.051,d,1
27.853,o,1
28.92,p,1
36.928,o,1
40.131,d,1
40.932,m ,1
42.533,s,1
43.603,a,1
46.005,s,1
47.072,a,1
49.478,s,1
52.677,d,1
54.012,o,1
56.148,p,1
60.951,o,1
63.354,d,1
63.621,m ,1
65.223,s,1
67.092,a,1
72.163,s,1
73.231,a,1
79.371,s,1
82.306,d,1
84.712,o,1
86.844,p,1
90.582,o,1
92.717,d,1
92.984,m ,1
95.653,m ,1
96.989,d,1
98.056,o,1
98.86,p,1
107.932,o,1
111.936,d,1
115.144,s,1
118.61,a,1
123.148,s,1
124.216,a,1
129.287,s,1
130.622,d,1
133.56,s,1
136.494,a,1
138.362,s,1
139.964,a,1
146.637,s,1
148.777,m ,1
149.577,d,1
149.84,o,1
152.51,p,1
155.181,o,1
156.514,d,1
157.582,s,1
158.649,a,1
168.259,s,1
169.861,d,1
170.127,m ,1
172.263,d,1
172.797,o,1
174.132,p,1
177.87,o,1
179.205,p,1
181.076,o,1
182.676,d,1
183.744,s,1
185.61,a,1
196.021,s,1
199.758,d,1
199.758,m ,1
201.894,d,1
202.161,o,1
203.227,p,1
212.304,o,1
213.371,d,1
214.709,s,1
215.51,a,1
218.71,s,1
220.311,d,1
221.112,m ,1
222.714,o,1
223.247,p,1
226.45,o,1
227.519,d,1
229.387,s,1
230.725,a,1
233.66,s,1
234.458,a,1
237.398,s,1
239.531,d,1
239.531,m ,1
240.865,d,1
240.865,o,1
241.402,p,1
242.2,o,1
243.802,m ,1
244.602,d,1
245.136,s,1
245.403,a,1
247.272,s,1
248.609,d,1
249.677,d,1
249.942,o,1
251.543,p,1
254.211,o,1
256.348,d,1
257.415,s,1
258.75,a,1
261.686,s,1
262.754,a,1
267.559,s,1
269.693,d,1
269.96,m ,1
271.563,d,1
271.832,o,1
273.964,p,1
277.968,o,1
278.769,p,1
300.113,END,0
300.113,END,0
