time,code,class
0.023,p,1
2.593,o,1
4.996,d,1
5.262,m ,1
7.666,d,1
7.666,s,1
9.266,a,1
11.139,s,1
13.27,d,1
15.143,o,1
17.009,p,1
26.085,o,1
26.619,p,1
41.566,o,1
42.1,p,1
59.984,o,1
61.052,p,1
62.386,o,1
63.991,d,1
63.991,m ,1
65.592,d,1
65.86,s,1
67.459,a,1
74.131,s,1
76,d,1
76.267,m ,1
77.87,d,1
78.135,o,1
79.737,p,1
84.008,o,1
85.61,d,1
87.478,s,1
88.816,a,1
89.613,s,1
90.415,a,1
91.216,s,1
92.816,d,1
93.352,m ,1
95.22,o,1
95.754,p,1
96.553,o,1
97.891,d,1
98.691,m ,1
100.826,d,1
100.826,m ,1
102.159,d,1
102.426,s,1
103.494,a,1
106.431,s,1
108.032,d,1
110.167,o,1
112.036,p,1
114.975,o,1
116.309,p,1
121.378,o,1
125.649,d,1
125.649,m ,1
126.718,d,1
127.253,s,1
129.92,a,1
131.258,s,1
131.789,a,1
133.124,s,1
135.258,d,1
137.662,o,1
140.331,p,1
145.403,o,1
145.937,p,1
152.075,o,1
155.279,d,1
155.279,m ,1
156.881,d,1
157.151,s,1
159.018,a,1
159.551,s,1
164.89,a,1
168.091,s,1
170.227,d,1
173.165,o,1
177.968,p,1
184.374,o,1
186.51,d,1
186.78,m ,1
188.112,d,1
188.913,s,1
189.98,a,1
195.59,s,1
198.256,d,1
200.924,o,1
202.797,p,1
207.865,o,1
208.936,p,1
217.474,o,1
218.808,d,1
219.076,m ,1
221.747,d,1
222.013,s,1
226.286,a,1
227.351,s,1
227.887,a,1
233.49,s,1
235.627,d,1
235.627,m ,1
237.495,d,1
238.028,o,1
240.163,p,1
244.436,o,1
246.839,d,1
248.974,s,1
252.709,a,1
253.51,s,1
255.379,a,1
283.14,s,1
287.145,d,1
288.478,m ,1
290.523,d,1
291.129,o,1
292.642,p,1
299.028,o,1
299.948,END,0
299.948,END,0
