time,code,class
3.784, o,1
5.391, m,1
8.056, s,1
9.923,a,1
11.257, s,1
13.663, d,1
15.268, o,1
17.131, p,1
18.998, o,1
20.069, p,1
23.537, o,1
26.741, p,1
31.279, o,1
32.614, p,1
36.083, o,1
37.951, p,1
40.623, o,1
42.224, p,1
45.427, o,1
47.561, p,1
50.232, o,1
52.099, p,1
58.241, o,1
64.113, m,1
66.78, s,1
67.583,a,1
73.99, s,1
76.658, m,1
78.258, o,1
80.126, p,1
84.665, o,1
86.001, d,1
87.338, s,1
88.937,a,1
89.739, s,1
90.54,a,1
91.071, s,1
92.943, m,1
94.276, o,1
98.545, m,1
101.215, s,1
102.819,a,1
103.889, s,1
104.951,a,1
106.553, s,1
108.426, d,1
110.492, o,1
111.828, p,1
114.496, o,1
116.633, p,1
120.904, o,1
126.242, m,1
127.574, s,1
130.511,a,1
133.182, s,1
136.118, d,1
137.986, o,1
140.655, p,1
144.924, o,1
145.992, p,1
150.798, o,1
155.87, m,1
157.475, s,1
164.946,a,1
168.418, s,1
170.82, d,1
173.219, o,1
178.293, p,1
182.832, o,1
187.103, m,1
188.702, s,1
190.306,a,1
195.641, s,1
198.58, d,1
200.884, o,1
204.619, p,1
207.02, o,1
209.156, p,1
215.297, o,1
219.301, m,1
222.238, s,1
226.508,a,1
227.573, s,1
228.911,a,1
233.982, s,1
236.117, m,1
237.986, o,1
240.388, p,1
243.593, o,1
247.16, d,1
249.298, s,1
252.501,a,1
253.034, s,1
255.702,a,1
259.707, s,1
260.506,a,1
281.864, s,1
287.2, m,1
290.404, o,1
293.906, p,1
298.981, o,1
299.919,END,0
