time,code,class
1.381,p,1
1.915,o,1
5.656,m,1
8.588,s,1
8.86,a,1
11.793,s,1
13.661,d,1
15.265,o,1
17.133,p,1
20.068,o,1
20.333,p,1
26.209,o,1
27.006,p,1
31.283,o,1
32.617,p,1
37.153,o,1
38.219,p,1
40.888,o,1
42.227,p,1
45.696,o,1
48.096,p,1
50.501,o,1
52.102,p,1
59.306,o,1
64.65,m,1
66.516,s,1
67.584,a,1
74.255,s,1
76.659,m,1
78.261,o,1
79.859,p,1
84.131,o,1
86.27,d,1
87.603,s,1
88.938,a,1
90.805,s,1
91.338,a,1
91.874,s,1
93.208,m,1
94.54,o,1
99.081,m,1
101.483,s,1
102.286,a,1
104.15,s,1
104.951,a,1
106.553,s,1
108.422,d,1
110.558,o,1
112.158,p,1
115.098,o,1
116.43,p,1
121.769,o,1
126.04,m,1
127.373,s,1
130.581,a,1
133.514,s,1
136.452,d,1
138.057,o,1
140.458,p,1
146.065,o,1
146.33,p,1
151.932,o,1
155.673,m,1
157.54,s,1
165.013,a,1
168.486,s,1
170.888,d,1
173.292,o,1
178.625,p,1
187.17,o,1
188.234,m,1
189.036,s,1
190.376,a,1
195.978,s,1
198.648,d,1
201.049,o,1
205.052,p,1
207.453,o,1
209.055,p,1
216.797,o,1
219.467,m,1
223.74,s,1
226.506,a,1
227.843,s,1
228.912,a,1
233.714,s,1
236.116,m,1
238.255,o,1
241.724,p,1
244.659,o,1
248.127,d,1
249.195,s,1
255.337,a,1
282.83,s,1
287.636,m,1
290.304,o,1
294.308,p,1
299.381,o,1
300.113,END,0
