time,code,class
0.658, p,1
1.46, o,1
4.928, d,1
5.996, m,1
8.136, d,1
8.399, s,1
9.734,a,1
11.602, s,1
13.203, d,1
15.072, o,1
16.941, p,1
19.077, o,1
19.881, p,1
23.614, o,1
27.084, p,1
29.753, o,1
29.753, p,1
36.261, o,1
38.129, p,1
40.798, o,1
42.133, p,1
45.336, o,1
47.475, p,1
50.143, o,1
52.012, p,1
58.417, o,1
63.758, d,1
65.894, s,1
67.494,a,1
73.631, s,1
76.3, d,1
78.437, o,1
80.037, p,1
84.044, o,1
85.91, d,1
87.511, s,1
88.846,a,1
90.184, s,1
93.385, d,1
94.451, o,1
97.921, d,1
99.258, m,1
100.593, d,1
101.927, s,1
102.993,a,1
106.73, s,1
108.333, d,1
110.201, o,1
111.802, p,1
114.472, o,1
116.874, p,1
120.878, o,1
125.15, d,1
127.017, s,1
129.689,a,1
132.894, s,1
135.827, d,1
137.961, o,1
140.631, p,1
144.635, o,1
146.238, p,1
150.51, o,1
155.048, d,1
157.714, s,1
164.921,a,1
168.126, s,1
170.53, d,1
173.199, o,1
178.807, p,1
182.276, o,1
186.81, d,1
188.68, s,1
190.281,a,1
195.62, s,1
198.293, d,1
200.959, o,1
204.695, p,1
207.097, o,1
208.97, p,1
214.838, o,1
218.842, d,1
220.977, m,1
222.048, d,1
222.313, s,1
226.316,a,1
227.654, s,1
228.723,a,1
233.525, s,1
235.661, d,1
236.727, m,1
237.528, d,1
237.795, o,1
240.197, p,1
243.402, o,1
246.873, d,1
247.408, m,1
248.208, d,1
248.741, s,1
252.476,a,1
253.277, s,1
255.412,a,1
259.688, s,1
260.486,a,1
272.764, s,1
273.297,a,1
281.838, s,1
286.643, d,1
288.245, m,1
289.851, d,1
290.525, o,1
292.945, p,1
299.041, o,1
299.951,END,0
