time,code,class
2.21,d,1
2.744,m ,1
4.084,d,1
4.346,s,1
9.952,d,1
10.22,m ,1
11.821,d,1
12.09,o,1
13.426,p,1
19.028,o,1
21.698,d,1
24.099,s,1
27.303,a,1
44.12,s,1
46.793,d,1
47.059,m ,1
49.193,d,1
49.992,o,1
51.326,p,1
56.933,o,1
58.267,d,1
60.402,s,1
62.805,a,1
65.474,s,1
67.609,d,1
68.143,m ,1
69.211,d,1
70.283,o,1
74.817,p,1
79.359,o,1
80.958,d,1
83.093,s,1
85.495,a,1
89.766,s,1
90.834,a,1
95.908,s,1
99.642,d,1
99.642,m ,1
101.243,d,1
102.312,o,1
104.183,p,1
110.319,o,1
112.992,d,1
116.192,s,1
118.327,a,1
123.399,s,1
124.733,a,1
129.275,s,1
131.409,d,1
131.674,m ,1
133.01,d,1
133.543,o,1
135.145,p,1
138.883,o,1
142.618,d,1
143.151,m ,1
146.091,d,1
146.359,s,1
151.693,d,1
151.964,m ,1
154.633,d,1
154.633,o,1
156.765,p,1
160.773,o,1
167.175,d,1
167.443,m ,1
170.383,d,1
170.646,s,1
176.518,d,1
176.785,m ,1
178.391,d,1
178.924,o,1
181.859,p,1
187.733,o,1
189.064,p,1
193.869,o,1
195.742,d,1
198.407,s,1
201.61,a,1
205.617,s,1
207.75,d,1
208.017,m ,1
209.618,d,1
209.886,o,1
210.957,p,1
218.693,o,1
222.172,p,1
228.571,o,1
230.708,m ,1
233.91,s,1
237.913,d,1
238.18,m ,1
239.514,d,1
240.319,o,1
242.184,p,1
245.124,o,1
246.724,d,1
248.323,s,1
250.726,a,1
259.806,s,1
262.74,d,1
263.272,m ,1
264.073,d,1
264.874,o,1
269.411,d,1
269.947,m ,1
272.883,d,1
273.149,m ,1
274.221,d,1
274.483,s,1
277.423,d,1
277.686,m ,1
279.557,d,1
279.822,o,1
281.158,p,1
287.029,p,1
287.834,o,1
291.048,d,1
291.66,m ,1
293.808,d,1
294.114,s,1
299.926,END,0
299.926,END,0
