time,code,class
0.445, o,1
2.048, d,1
4.451, s,1
9.787, d,1
10.585, m,1
11.92, d,1
12.188, o,1
13.527, p,1
19.399, o,1
21.8, d,1
24.202, s,1
27.404,a,1
36.213, s,1
38.085,a,1
43.152, s,1
46.355, d,1
47.961, m,1
49.293, d,1
49.825, o,1
51.693, p,1
55.968, o,1
58.102, d,1
61.036, s,1
62.909,a,1
65.308, s,1
67.71, d,1
68.51, m,1
69.85, d,1
70.379, o,1
74.917, p,1
79.187, o,1
81.323, d,1
83.459, s,1
85.865,a,1
89.601, s,1
90.934,a,1
96.271, s,1
99.475, d,1
102.948, o,1
104.284, p,1
110.42, o,1
113.088, d,1
116.291, s,1
118.432,a,1
123.766, s,1
124.834,a,1
129.371, s,1
131.507, d,1
133.646, o,1
135.247, p,1
139.25, o,1
142.718, d,1
144.319, m,1
146.188, d,1
146.723, s,1
151.531, d,1
152.596, m,1
154.199, d,1
155, o,1
156.865, p,1
160.602, o,1
166.742, d,1
168.077, m,1
170.484, d,1
171.013, s,1
176.618, d,1
177.686, m,1
178.488, d,1
179.022, o,1
182.229, p,1
187.833, o,1
189.433, p,1
193.171, o,1
195.838, d,1
198.242, s,1
201.711,a,1
205.449, s,1
207.85, d,1
208.917, m,1
209.718, d,1
209.986, o,1
211.586, p,1
219.062, o,1
222.266, p,1
228.404, o,1
230.273, d,1
231.61, m,1
232.941, d,1
233.208, s,1
237.75, d,1
240.149, o,1
244.419, p,1
245.22, o,1
246.556, d,1
248.157, s,1
250.56,a,1
259.634, s,1
262.838, d,1
264.44, o,1
269.515, d,1
270.849, m,1
272.716, d,1
273.248, s,1
276.985, d,1
278.32, m,1
279.659, d,1
280.19, o,1
281.523, p,1
286.599, o,1
290.837, d,1
291.756, m,1
293.892, d,1
294.196, s,1
299.974,END,0
