time,code,class
0.781, m,1
27.474, s,1
32.81,a,1
49.359, s,1
52.029, d,1
53.897, m,1
57.902, o,1
59.774, p,1
65.912, o,1
68.315, d,1
69.916, m,1
82.994, s,1
85.93,a,1
104.882, s,1
105.684,a,1
155.332, s,1
158.269,a,1
161.475, s,1
162.541,a,1
166.276, s,1
168.413,a,1
172.148, s,1
180.056, d,1
182.462, o,1
184.862, p,1
187.267, o,1
189.133, p,1
194.747, o,1
197.677, d,1
200.077, m,1
202.215, d,1
203.546, s,1
206.486,a,1
239.586, s,1
245.723, d,1
248.395, o,1
251.06, p,1
252.664, o,1
255.334, p,1
258.541, o,1
264.143, p,1
269.748, o,1
273.221, d,1
274.554, s,1
276.689,a,1
300.343,END,0
