time,code,class
0.793, m,1
26.952, d,1
27.486, s,1
32.286,a,1
49.37, s,1
51.505, d,1
53.108, m,1
56.58, d,1
57.645, o,1
60.051, p,1
65.119, o,1
68.322, d,1
69.928, m,1
82.202, d,1
82.736, s,1
85.673,a,1
103.829, s,1
105.694,a,1
155.075, s,1
158.012,a,1
160.685, s,1
162.818,a,1
166.553, s,1
169.223,a,1
172.159, s,1
179.901, d,1
180.702, m,1
180.968, d,1
182.035, o,1
184.705, p,1
187.112, o,1
189.243, p,1
194.318, o,1
197.519, d,1
200.721, m,1
203.124, d,1
203.657, s,1
206.331,a,1
240.231, s,1
245.568, d,1
248.236, o,1
250.904, p,1
252.773, o,1
255.447, p,1
258.916, o,1
272.928, d,1
274.528, s,1
276.93,a,1
300.145,END,0
