time,code,class
0.659, p,1
3.327, o,1
6.535, d,1
7.868, o,1
10.801, p,1
13.204, o,1
15.34, d,1
16.141, m,1
18.545, d,1
19.076, o,1
25.219, p,1
26.017, o,1
31.894, d,1
34.563, s,1
36.16,a,1
38.567, s,1
39.634,a,1
40.701, s,1
42.3,a,1
44.435, s,1
64.722, d,1
66.058, m,1
68.459, d,1
69.26, s,1
73.801,a,1
76.467, s,1
81.539,a,1
84.742, s,1
108.766,a,1
110.634, s,1
113.571,a,1
115.708, s,1
119.176,a,1
121.316, s,1
124.25,a,1
126.116, s,1
128.79,a,1
131.723, s,1
134.125,a,1
136.795, s,1
138.133,a,1
140.532, s,1
143.2,a,1
154.411, s,1
156.016,a,1
160.551, s,1
162.152,a,1
168.296, s,1
176.3,a,1
178.969, s,1
180.309,a,1
183.24, s,1
183.511,a,1
247.305, s,1
248.906,a,1
277.201, s,1
286.281, d,1
287.079, s,1
287.881,a,1
296.578, s,1
299.899,END,0
