fishID,fishName,fishID,experiment,prePost,half,largeMalePosition,number_transits,latency_plant,latency_right_screen,latency_left_screen,center,left screen,left side,plant,right screen,right side,latency_plant_1,latency_right_screen_1,latency_left_screen_1
fid1,barbie,fid1,mc,post,p1,none,16,12.625,102.021,0,24.262,0,24.587,63.031,169.564,17.743,12.625,102.021,300
fid1,barbie,fid1,mc,pre,p1,none,29,6.138,38.373,3.904,9.498,167.87,17.447,39.004,48.048,16.008,6.138,38.373,3.904
fid1,barbie,fid1,mc,post,p2,right,13,0,0.841,0,0,0,0,0,291.146,8.807,300,0.841,300
fid1,barbie,fid1,mc,pre,p2,left,37,0,155.75,0.023,22.237,206.714,20.025,0,21.777,29.334,300,155.75,0.023
fid1,barbie,fid1,mc,post,p3,left,42,215.721,0.475,201.409,7.473,8.804,20.291,9.885,207.022,44.88,215.721,0.475,201.409
fid1,barbie,fid1,mc,pre,p3,right,23,0,0.066,299.82,19.646,0,13.304,0,242.815,21.94,300,0.066,299.82
fid10,alyssa,fid10,mc,post,p1,none,53,0.973,54.293,10.214,22.42,144.677,37.373,29.628,38.439,27.201,0.973,54.293,10.214
fid10,alyssa,fid10,mc,pre,p1,none,15.5,33.5085,3.345,25.103,6.941,4.136,8.41,4.54,257.022,17.6585,33.5085,3.345,25.103
fid10,alyssa,fid10,mc,post,p2,right,17,294.043,1.326,296.747,0,3.052,1.602,1.334,271.971,19.957,294.043,1.326,296.747
fid10,alyssa,fid10,mc,pre,p2,right,2.5,0,0.6255,0,0,0,0,0,298.4395,0.2685,300,0.6255,300
fid10,alyssa,fid10,mc,post,p3,left,4,0,0.6475,0,0,0,0,0,296.119,2.133,300,0.6475,300
fid10,alyssa,fid10,mc,pre,p3,left,3,0,0.1025,0,0,0,0,0,291.6345,8.275,300,0.1025,300
fid11,bernice,fid11,mc,post,p1,none,61,2.983,26.409,38.06,12.542,42.713,32.896,30.662,146.035,32.034,2.983,26.409,38.06
fid11,bernice,fid11,mc,pre,p1,none,54.5,261.0945,19.647,35.03,30.1025,137.8555,58.402,19.8465,18.252,35.086,261.0945,19.647,35.03
fid11,bernice,fid11,mc,post,p2,right,12,0,1.193,298.225,3.342,1.775,1.634,0,274.713,18.417,300,1.193,298.225
fid11,bernice,fid11,mc,pre,p2,left,37.5,5.471,0.2575,11.346,10.6775,24.9555,22.8245,10.2795,201.875,29.624,5.471,0.2575,11.346
fid11,bernice,fid11,mc,post,p3,left,35,3.155,54.017,11.6,10.678,56.592,20.011,8.145,183.735,18.017,3.155,54.017,11.6
fid11,bernice,fid11,mc,pre,p3,right,7,0,0.677,0,0,0,0,0,297.3165,2.2655,300,0.677,300
fid12,andrea,fid12,mc,post,p1,none,24,2.148,171.366,84.065,30.694,6.273,23.725,195.526,10.943,33.899,2.148,171.366,84.065
fid12,andrea,fid12,mc,post,p2,right,18,1.247,164.609,6.851,16.015,18.522,47.346,202.816,3.472,11.379,1.247,164.609,6.851
fid12,andrea,fid12,mc,post,p3,left,19,0.87,0,12.614,5.874,257.992,18.047,17.352,0,0,0.87,300,12.614
fid13,ava,fid13,mc,post,p1,none,76,10.44,2.075,20.049,22.578,79.105,50.15,39.361,61.934,45.217,10.44,2.075,20.049
fid13,ava,fid13,mc,pre,p1,none,76,1.899,11.147,34.8645,24.9435,70.3025,35.903,5.72,120.152,40.1735,1.899,11.147,34.8645
fid13,ava,fid13,mc,post,p2,right,69,59.996,3.673,14.207,35.505,94.212,54.959,8.008,58.455,46.717,59.996,3.673,14.207
